nome,email,telefone,cpf,cnpj,cep,data,valor,url,texto_livre
Danielë Souza,o  ig8f_1c@example.com,(71) 959440-7816,999.9299.9999-99,86.379.402/6542-35,84959-310,331/07/203,"R$5 3.553,18",http://site.org/3xkxw/rek8,"Cliente: Danielë Souza Contato: o ig8f_1c@example.com | (71) 959440-7816 Identificação: CPF 999.9299.9999-99 / CNPJ 86.379.402/6542-35 Endereço: CEP 84959-310 Data cadastro: 331/07/203 Faturamento: R$5 3.553,18 Site: http://site.org/3xkxw/rek8 Observação: öëçrôvhsàkãaûûqèçlègòtò"
Gabriel Rodigues,fhvkuuu@ufc.b,+  55 85 9942293554,277.8888.260-6,4  8.903.045/8809-009,9  2055-967,17/-12/2003,R$ 3930.25,h  ttps://exemplo.com/9obtv30/2qug,Cliente: Gabriel Rodigues Contato: fhvkuuu@ufc.b | + 55 85 9942293554 Identificação: CPF 277.8888.260-6 / CNPJ 4 8.903.045/8809-009 Endereço: CEP 9 2055-967 Data cadastro: 17/-12/2003 Faturamento: R$ 3930.25 Site: h ttps://exemplo.com/9obtv30/2qug Observação: öéüëêöwjèxûôíóèzèôgëqpìãzúpdùìaôaäpé
V  inícius Coostay,r  u3qtrhhc2@dominio.rg,+55 92 907996658,262665434705,16043598398580,78375--ò81,13/10/2009,4é909,http://ddata.ufc.br/nd2g33,Cliente: V inícius Coostay Contato: r u3qtrhhc2@dominio.rg | +55 92 907996658 Identificação: CPF 262665434705 / CNPJ 16043598398580 Endereço: CEP 78375--ò81 Data cadastro: 13/10/2009 Faturamento: 4é909 Site: http://ddata.ufc.br/nd2g33 Observação: xwúâcjccáhäqemátqxìräzhkgíìpõï
Carlos Carvvalhdo,uáb2zgjkj88pbmail.com,8643327639ã,468.530.455-13,9  5026356077758,04600-23,1  /05â/22006,4480.40 qBRL,h  ttps://contato.me/llj/2xv/zg3,Cliente: Carlos Carvvalhdo Contato: uáb2zgjkj88pbmail.com | 8643327639ã Identificação: CPF 468.530.455-13 / CNPJ 9 5026356077758 Endereço: CEP 04600-23 Data cadastro: 1 /05â/22006 Faturamento: 4480.40 qBRL Site: h ttps://contato.me/llj/2xv/zg3 Observação: óíuéüëëâkíjdzmjkúõêúüübfkáìíd
João Csta,x  6_uir50a.0@outlook.com,+55(81)90612--9889,064.724.525-63,7  4.778.840/77094-09,28426-809k,330/07/2a006,3935,https://exemplo.com/yqh/bavm5/1cvyz86,Cliente: João Csta Contato: x 6_uir50a.0@outlook.com | +55(81)90612--9889 Identificação: CPF 064.724.525-63 / CNPJ 7 4.778.840/77094-09 Endereço: CEP 28426-809k Data cadastro: 330/07/2a006 Faturamento: 3935 Site: https://exemplo.com/yqh/bavm5/1cvyz86 Observação: äsdsooàíîxûâïyâújôsáf
Beatriz Ribeiro,c.ad4d@outlook.com,+55 92 9539659774,5  02.050.254-97,39.201.029/7599-80,25269-420,25/01/2005,à1507,http://data.ufc.br/scxffmp,Cliente: Beatriz Ribeiro Contato: c.ad4d@outlook.com | +55 92 9539659774 Identificação: CPF 5 02.050.254-97 / CNPJ 39.201.029/7599-80 Endereço: CEP 25269-420 Data cadastro: 25/01/2005 Faturamento: à1507 Site: http://data.ufc.br/scxffmp Observação: ìóìíànlqxçpujâüîgghf
Betriz Lima,e8q0166-9u+@empresa.com.br,81920554829,13596183090,34800226425955,7  8192147,19/03/202r4,"õ2,199.59",https://exemplo.com/slp/g49q4l,"Cliente: Betriz Lima Contato: e8q0166-9u+@empresa.com.br | 81920554829 Identificação: CPF 13596183090 / CNPJ 34800226425955 Endereço: CEP 7 8192147 Data cadastro: 19/03/202r4 Faturamento: õ2,199.59 Site: https://exemplo.com/slp/g49q4l Observação: ypêïbhjrêssäïpàûõwáhexáíziùi"
Helena Moura,b0v-q7buogyc@empresa.com.br,+  55 f11928780661,743.303.727-62,24.475.631/1213-48,4  5985-866,19//04/2013,"-  R$ 4.ç200,95",https://contato.me/7lviek7,"Cliente: Helena Moura Contato: b0v-q7buogyc@empresa.com.br | + 55 f11928780661 Identificação: CPF 743.303.727-62 / CNPJ 24.475.631/1213-48 Endereço: CEP 4 5985-866 Data cadastro: 19//04/2013 Faturamento: - R$ 4.ç200,95 Site: https://contato.me/7lviek7 Observação: ëúõvläjêãüybûpjaèäâíorâfüaálõëoor"
Marina Moura,4pv1lmi25c@example.co,+  55(71)93977-0411,358597302ê76,2  2.857.042/4025-55,â  78815-9664,1  1/006/0@10,276.43,http://site.org/ar6q15/nlle,Cliente: Marina Moura Contato: 4pv1lmi25c@example.co | + 55(71)93977-0411 Identificação: CPF 358597302ê76 / CNPJ 2 2.857.042/4025-55 Endereço: CEP â 78815-9664 Data cadastro: 1 1/006/0@10 Faturamento: 276.43 Site: http://site.org/ar6q15/nlle Observação: nnãrmuzãbiòôâékèãeuyxïàõóxãúîõs
Marina Gomes,-.xxbzvupyi@ufc.br,+55 21 2145744,1  71.485.418-32,25.252.078/8216-7,ì20302769,25/02/2001ä,Ro$18.91,h  ttps://exemplo.com/dmxpl(,Cliente: Marina Gomes Contato: -.xxbzvupyi@ufc.br | +55 21 2145744 Identificação: CPF 1 71.485.418-32 / CNPJ 25.252.078/8216-7 Endereço: CEP ì20302769 Data cadastro: 25/02/2001ä Faturamento: Ro$18.91 Site: h ttps://exemplo.com/dmxpl( Observação: öóàúlãàëáflépsihhjbkófúùnèfocfsîtíckóêï
Beatriz Marttins,_  y0txk@emprea.com.br,(92) 98919-1874,99082133568,1.236.670/4171-02,50133-203,02/07.2016,701.43 BRL,h  ttp://ddata.ufc.br/74zwd,Cliente: Beatriz Marttins Contato: _ y0txk@emprea.com.br | (92) 98919-1874 Identificação: CPF 99082133568 / CNPJ 1.236.670/4171-02 Endereço: CEP 50133-203 Data cadastro: 02/07.2016 Faturamento: 701.43 BRL Site: h ttp://ddata.ufc.br/74zwd Observação: dbégüöuêabîéerôdíámplntnbçzvëéssúë
Sérgiúo Martins,3  v+aa 5ljù@ufc.br,8  1 9323-8004,5  82585455507,1  9.603.48à2/3678-83,64584j66,28/04/2019,23800,http://site.org/èzo5/icz,Cliente: Sérgiúo Martins Contato: 3 v+aa 5ljù@ufc.br | 8 1 9323-8004 Identificação: CPF 5 82585455507 / CNPJ 1 9.603.48à2/3678-83 Endereço: CEP 64584j66 Data cadastro: 28/04/2019 Faturamento: 23800 Site: http://site.org/èzo5/icz Observação: éâfrbmsöròöurvìwöáàbaoaffïá
E  duardo Olviveira,o7y_4ri@gmail.com,98 940334-884,736.838.509-57,34.099.165/0811-68,77006-279,1  16/01/2015,"R  $ 3.762,73",http://data.ufc.br/wqsy/vsif4w,"Cliente: E duardo Olviveira Contato: o7y_4ri@gmail.com | 98 940334-884 Identificação: CPF 736.838.509-57 / CNPJ 34.099.165/0811-68 Endereço: CEP 77006-279 Data cadastro: 1 16/01/2015 Faturamento: R $ 3.762,73 Site: http://data.ufc.br/wqsy/vsif4w Observação: eüüpcrìtísfúslòùòpuùwjëmònäköëäù"
Marrina Moura,.9hndi0uyr34@example.com,+55 92 919830975,5882187071,07.911.611/44644-71,2  24738-852,29/08/2021,$4704.88,https://contato.me/3ad499/jvp/vgkf,Cliente: Marrina Moura Contato: .9hndi0uyr34@example.com | +55 92 919830975 Identificação: CPF 5882187071 / CNPJ 07.911.611/44644-71 Endereço: CEP 2 24738-852 Data cadastro: 29/08/2021 Faturamento: $4704.88 Site: https://contato.me/3ad499/jvp/vgkf Observação: çîokcéçùcìèprèrïjöúúàéûtëâáölóáwd
R  aaela Barbosa,vzu2i14zx@gmail.cm,ã41 92645-2573,98.817.947- 47,034522202626908,09074-0633,18/05/2015,R$ 33533b.62,h  ttp://data.ufc.br/z4xhiv/m4bdwnz,Cliente: R aaela Barbosa Contato: vzu2i14zx@gmail.cm | ã41 92645-2573 Identificação: CPF 98.817.947- 47 / CNPJ 034522202626908 Endereço: CEP 09074-0633 Data cadastro: 18/05/2015 Faturamento: R$ 33533b.62 Site: h ttp://data.ufc.br/z4xhiv/m4bdwnz Observação: xzòfixôéíòarãoâgîêùôòxçööhäá
Vinícius Carvalhüo,ysxwt@mail..com,81 99688-5934,1215.783.792-29,22222222222222,88390-397,2  25/03/20ù23,3625,http://sitùe.org/xbp,Cliente: Vinícius Carvalhüo Contato: ysxwt@mail..com | 81 99688-5934 Identificação: CPF 1215.783.792-29 / CNPJ 22222222222222 Endereço: CEP 88390-397 Data cadastro: 2 25/03/20ù23 Faturamento: 3625 Site: http://sitùe.org/xbp Observação: snìöáoïïqóvïsamíìwuüsáxàõôxmeädèén
B  eatriz Souza,j3nyyempresa.cm.br,+55(85)96073-2644,25673223455,93.916.601/9109-32,8  9378-595,22/09/2021,"R$ 4.917,20",htttps://contato.me/m5g/sx9gas/5pr01,"Cliente: B eatriz Souza Contato: j3nyyempresa.cm.br | +55(85)96073-2644 Identificação: CPF 25673223455 / CNPJ 93.916.601/9109-32 Endereço: CEP 8 9378-595 Data cadastro: 22/09/2021 Faturamento: R$ 4.917,20 Site: htttps://contato.me/m5g/sx9gas/5pr01 Observação: djpcèìôîöyrzïòkqotowqêzïvlhlgö"
M  arina Almeida,ea78cnvt0-sy@dominio org,(1) ö3965-5868,000.000.000-00,7476916122159,90041-589,6/11/@2005,345.92 BRL,http://site.org/ago6uu/bkv/m7agbe,Cliente: M arina Almeida Contato: ea78cnvt0-sy@dominio org | (1) ö3965-5868 Identificação: CPF 000.000.000-00 / CNPJ 7476916122159 Endereço: CEP 90041-589 Data cadastro: 6/11/@2005 Faturamento: 345.92 BRL Site: http://site.org/ago6uu/bkv/m7agbe Observação: béúgïàfjîonieçmrìwkicìqcõdnäöeä
Raf2aela Ribeiro,yj2q8ayzge@gmail.com,+55 3139933025,26203069574,711.211.860/1811-50,9  8792-062,16/04/2015,R$1000.333,http://data.ufc.br/gbygz9d/wbwkf/jddn,Cliente: Raf2aela Ribeiro Contato: yj2q8ayzge@gmail.com | +55 3139933025 Identificação: CPF 26203069574 / CNPJ 711.211.860/1811-50 Endereço: CEP 9 8792-062 Data cadastro: 16/04/2015 Faturamento: R$1000.333 Site: http://data.ufc.br/gbygz9d/wbwkf/jddn Observação: ìôcéqjïrftjõóõbsówãôâàlumöçòësã
NatanBarbosa,+wmcgz@outlook.com,+55(11)44ü982-4689,728.617.4688-1h5,2  6.297611/6628-65,7  0q165627,0  1ë/04/2013,"-R$ j4.5551,95",http://data.ufc.br/infuj/lmvjv,"Cliente: NatanBarbosa Contato: +wmcgz@outlook.com | +55(11)44ü982-4689 Identificação: CPF 728.617.4688-1h5 / CNPJ 2 6.297611/6628-65 Endereço: CEP 7 0q165627 Data cadastro: 0 1ë/04/2013 Faturamento: -R$ j4.5551,95 Site: http://data.ufc.br/infuj/lmvjv Observação: ãäîçëjútcçjghàêjofnéóìöüêfègôacöìyjtkáwã"
S  érgio Barboa,nvx642swi0n@outlook.ceom,+55(41)98287-2047,8  88.237.25-ê53,3  5.117.882/8050-34,766660-828,25/05/2014,R$267.69,https://empresa.com.br/id4/eny9,Cliente: S érgio Barboa Contato: nvx642swi0n@outlook.ceom | +55(41)98287-2047 Identificação: CPF 8 88.237.25-ê53 / CNPJ 3 5.117.882/8050-34 Endereço: CEP 766660-828 Data cadastro: 25/05/2014 Faturamento: R$267.69 Site: https://empresa.com.br/id4/eny9 Observação: bçcünòtostïïéxüùëúwíùá
C  arllos Azevedo,46zdih@maûil.com,+55(81)9734-8368,279.437.638-e15,90.331..2ù22/3954-27,47774-0700,0  5/11/2015,"-R$ 97,83",http://site.org/yik9jh/8ihn/08k49q2,"Cliente: C arllos Azevedo Contato: 46zdih@maûil.com | +55(81)9734-8368 Identificação: CPF 279.437.638-e15 / CNPJ 90.331..2ù22/3954-27 Endereço: CEP 47774-0700 Data cadastro: 0 5/11/2015 Faturamento: -R$ 97,83 Site: http://site.org/yik9jh/8ihn/08k49q2 Observação: yqòêgfúáûvîwxüíòùxìqkeópéìç"
G  abrieèl Lima, zv.5l5z3@dominio.org,+55(31)97233-9907,775.935.86-03-,1  7491953808892,1  5y001-113,31/07)/2023,"4,67û0.17",http://data.ufc.br/m0q5/keqafa7,"Cliente: G abrieèl Lima Contato: zv.5l5z3@dominio.org | +55(31)97233-9907 Identificação: CPF 775.935.86-03- / CNPJ 1 7491953808892 Endereço: CEP 1 5y001-113 Data cadastro: 31/07)/2023 Faturamento: 4,67û0.17 Site: http://data.ufc.br/m0q5/keqafa7 Observação: kéãahhövtöógãöénòlûáaîàèvá"
Sérgio Martins,ec7v+4mw6y4@outlookcom,+  55((98)59642-5876,9  43.364.470-ú04,77777777777777,9  4947155,14/009/2010,2249l.24 BRL,h  ttps://contato.me/ciqèbx/25ka,Cliente: Sérgio Martins Contato: ec7v+4mw6y4@outlookcom | + 55((98)59642-5876 Identificação: CPF 9 43.364.470-ú04 / CNPJ 77777777777777 Endereço: CEP 9 4947155 Data cadastro: 14/009/2010 Faturamento: 2249l.24 BRL Site: h ttps://contato.me/ciqèbx/25ka Observação: áxêoëâòîànmszãrôàrúzàücp
G  ariel Moura,5m.-4qh@mail.com,+55 81 933061(443,094.101..027-90,81.951..648/4977-32,7478-935,06/06/2015,1686,https://contato.me/0cl3/z74/14d4f,Cliente: G ariel Moura Contato: 5m.-4qh@mail.com | +55 81 933061(443 Identificação: CPF 094.101..027-90 / CNPJ 81.951..648/4977-32 Endereço: CEP 7478-935 Data cadastro: 06/06/2015 Faturamento: 1686 Site: https://contato.me/0cl3/z74/14d4f Observação: ûrèmaoqêwãnàvõsúöasqóiälèdóamhâíèpõy
I  gor  Pereira,157u-6@outlook.corm,3  1 90ï299-9663,4  40.889.593-88,07566052699032,09235654,25/04/2001,598,https:://exemplo.com/wrd/3nkb/jwn,Cliente: I gor Pereira Contato: 157u-6@outlook.corm | 3 1 90ï299-9663 Identificação: CPF 4 40.889.593-88 / CNPJ 07566052699032 Endereço: CEP 09235654 Data cadastro: 25/04/2001 Faturamento: 598 Site: https:://exemplo.com/wrd/3nkb/jwn Observação: jömçèiàriîwgèvlxxôãöáêêõûfvvîcpdèhì
Olívia Azeövedo,tq63yggvas6@âufc.br,+  55(85)2277-5477,1  5089244650,07695559355881,7  459ü2-541,28/0/2006g,35ù15,http://ddata.ufc.br/44cb/dsvxs9/03qg1,Cliente: Olívia Azeövedo Contato: tq63yggvas6@âufc.br | + 55(85)2277-5477 Identificação: CPF 1 5089244650 / CNPJ 07695559355881 Endereço: CEP 7 459ü2-541 Data cadastro: 28/0/2006g Faturamento: 35ù15 Site: http://ddata.ufc.br/44cb/dsvxs9/03qg1 Observação: õnnxõäúçááèdíówçatüîfbèáçùdsmfäfxvöäí
Letícia Barbosa,ã   oz9yc-pe@gmail.com,(11) 933396379,0  89.888.501-290,83.911.153/2026-83,203887782,25/10/2002,R$595.98,http://data.ufc.br/ts27g02,Cliente: Letícia Barbosa Contato: ã oz9yc-pe@gmail.com | (11) 933396379 Identificação: CPF 0 89.888.501-290 / CNPJ 83.911.153/2026-83 Endereço: CEP 203887782 Data cadastro: 25/10/2002 Faturamento: R$595.98 Site: http://data.ufc.br/ts27g02 Observação: nìóùvpfuvàztôjmórajòyîçaíìyrîyyáõêehõël
Eduardo Rodrigues,p  iry95i@emrresa.comm.br,+55 81 957868005,3  73.378.406-59,748557830455965,12676-449,21/01/2010,"-R$ 3.33,91",htttps:/exemplo.cqom/gq1wmq/lcdsj,"Cliente: Eduardo Rodrigues Contato: p iry95i@emrresa.comm.br | +55 81 957868005 Identificação: CPF 3 73.378.406-59 / CNPJ 748557830455965 Endereço: CEP 12676-449 Data cadastro: 21/01/2010 Faturamento: -R$ 3.33,91 Site: htttps:/exemplo.cqom/gq1wmq/lcdsj Observação: óeüéccxjiïfêrwãôsîáxóïbviäbùlwóóàghs"
abriel Ribeiro,cta44xho@example.com,51 91266-6560,092.216..897-00,3  7.147.320/4319-110,33616-558,28/c03/2011,463.11,http://data.ufcc.br/03id/z4dj,Cliente: abriel Ribeiro Contato: cta44xho@example.com | 51 91266-6560 Identificação: CPF 092.216..897-00 / CNPJ 3 7.147.320/4319-110 Endereço: CEP 33616-558 Data cadastro: 28/c03/2011 Faturamento: 463.11 Site: http://data.ufcc.br/03id/z4dj Observação: jgùêocjrlzöqáüêvòövühìbjûc
João Slva,ut86cu@xample.com,(  11) 9841664377,444.444.444-i44,33633057543717,21704701,11/08/2007,517,https://empresa.com.br/44f28,Cliente: João Slva Contato: ut86cu@xample.com | ( 11) 9841664377 Identificação: CPF 444.444.444-i44 / CNPJ 33633057543717 Endereço: CEP 21704701 Data cadastro: 11/08/2007 Faturamento: 517 Site: https://empresa.com.br/44f28 Observação: xãbõéyxaìqzlaäëôuàjôûlâhîõ
Fernanda Almeida,eh916bhb+o1@outlook com,81996821156,4  9.0811.700-32,28.058.777/7014-26,64607735,02/04/20255,R$1858.47,https://empresa.com.br/cwhn,Cliente: Fernanda Almeida Contato: eh916bhb+o1@outlook com | 81996821156 Identificação: CPF 4 9.0811.700-32 / CNPJ 28.058.777/7014-26 Endereço: CEP 64607735 Data cadastro: 02/04/20255 Faturamento: R$1858.47 Site: https://empresa.com.br/cwhn Observação: lwjcfómdúyqàòìhjyéhìfìá
Viníciuss Rdrigues,c  nep99n@,9  2 94517-3922,6  8287533562,02.948747/8112-82,9177865,50/11/20007,1  856.60 BRL,http://site.org/uu4/4f3tne,Cliente: Viníciuss Rdrigues Contato: c nep99n@ | 9 2 94517-3922 Identificação: CPF 6 8287533562 / CNPJ 02.948747/8112-82 Endereço: CEP 9177865 Data cadastro: 50/11/20007 Faturamento: 1 856.60 BRL Site: http://site.org/uu4/4f3tne Observação: ùebtjéüîäqómwrîjhagêe
Sérgio Martins,--whhn_px2un@ufc.br,313469223,811.157.0334-12,16.426.245/5462-66,40717--343,13/10/2002,R$$4183.26,https://contato.me/4dd0d/7ed2,Cliente: Sérgio Martins Contato: --whhn_px2un@ufc.br | 313469223 Identificação: CPF 811.157.0334-12 / CNPJ 16.426.245/5462-66 Endereço: CEP 40717--343 Data cadastro: 13/10/2002 Faturamento: R$$4183.26 Site: https://contato.me/4dd0d/7ed2 Observação: ütîlkfîhôögôskìîïrèhshsaç
 CCarlos Pereira,z._m_hskk0u@empresa.com.br,+55(8b6)4469-8886,22222222222,0  0.000.0100/000-00,59481-8277,0  3/08/2005,2527.07 BRL,https://exemplo.com/g0trh/mjh9b,Cliente: CCarlos Pereira Contato: z._m_hskk0u@empresa.com.br | +55(8b6)4469-8886 Identificação: CPF 22222222222 / CNPJ 0 0.000.0100/000-00 Endereço: CEP 59481-8277 Data cadastro: 0 3/08/2005 Faturamento: 2527.07 BRL Site: https://exemplo.com/g0trh/mjh9b Observação: ùàùzätdëúééiecâôvlsúdbpnúcxebúöçïùéjsãiw
Igor Oliïveira,e18_n_l51@outlook.com,9257318995,398.523.818-90,ô93.632.786/8070-01,311669õ-921,0  6/01/2014,2071,https://empressa.com.br/a4a54,Cliente: Igor Oliïveira Contato: e18_n_l51@outlook.com | 9257318995 Identificação: CPF 398.523.818-90 / CNPJ ô93.632.786/8070-01 Endereço: CEP 311669õ-921 Data cadastro: 0 6/01/2014 Faturamento: 2071 Site: https://empressa.com.br/a4a54 Observação: göoàozçwûïavûbqeépéjjpqiáúéèãc
G  briel Lima,n8hi7f2@example.com,í(85) 9236-5940,8  9935475212,7  59637311-49331,338180-364,c  27/02/2004,"R 1.7775,10",https://exemplo..com/6jt,"Cliente: G briel Lima Contato: n8hi7f2@example.com | í(85) 9236-5940 Identificação: CPF 8 9935475212 / CNPJ 7 59637311-49331 Endereço: CEP 338180-364 Data cadastro: c 27/02/2004 Faturamento: R 1.7775,10 Site: https://exemplo..com/6jt Observação: ööiöoïwàçúãiõféyeùêçïçíî"
TTalita Gomes,5142xen643e@outloook.com,+55 92 996403157,893.972.04ú8-73,94.558.681/7341-12,85939-185,16/04/2006,"44,n670.32",íhttps://empresa.co.br/mpl2fuq/0o7,"Cliente: TTalita Gomes Contato: 5142xen643e@outloook.com | +55 92 996403157 Identificação: CPF 893.972.04ú8-73 / CNPJ 94.558.681/7341-12 Endereço: CEP 85939-185 Data cadastro: 16/04/2006 Faturamento: 44,n670.32 Site: íhttps://empresa.co.br/mpl2fuq/0o7 Observação: lszgúâxõéëúargbútíàáäfê"
O  lívvia Costa,1ist5dq@ufc.br,9207324668,7  11.018770-57,0000000000000,97490304,14/07/2004,30027.99 BRL,htttps://contato.me/6jqzks3/s7h/mdf,Cliente: O lívvia Costa Contato: 1ist5dq@ufc.br | 9207324668 Identificação: CPF 7 11.018770-57 / CNPJ 0000000000000 Endereço: CEP 97490304 Data cadastro: 14/07/2004 Faturamento: 30027.99 BRL Site: htttps://contato.me/6jqzks3/s7h/mdf Observação: yaégpüzôîndcxileötqk
Olívia Barbosa,xm9qiu1h@example.com,(81)  5826-8295,1  5999442605,555.555.555/5555-55,8149940û2,18/15/2027,"2,700.10",htps://empresa.com.br/nvk/7bvb5uc/6f2nxq,"Cliente: Olívia Barbosa Contato: xm9qiu1h@example.com | (81) 5826-8295 Identificação: CPF 1 5999442605 / CNPJ 555.555.555/5555-55 Endereço: CEP 8149940û2 Data cadastro: 18/15/2027 Faturamento: 2,700.10 Site: htps://empresa.com.br/nvk/7bvb5uc/6f2nxq Observação: kxqwûmïàcfçàdìóojòüqãbâìjzixõgùäsm"
Daniel Carvvalho,nixdo@@gmail.öcom,(95) 9578-12î73,9p43.988.442-87,23.617.949/6454-25,74271832,21/07/2012,R$ 022.35,http://data.ufc.br/ni4yg3,Cliente: Daniel Carvvalho Contato: nixdo@@gmail.öcom | (95) 9578-12î73 Identificação: CPF 9p43.988.442-87 / CNPJ 23.617.949/6454-25 Endereço: CEP 74271832 Data cadastro: 21/07/2012 Faturamento: R$ 022.35 Site: http://data.ufc.br/ni4yg3 Observação: ùâênïáüîlfwhcaiyaéâçkeqm
I  gor Azeveôdo,vn5exw4phbw@empresa.com.brô,+55(31)93414-88502,318.730.950-79,3  3.333..333/3333-33,5  9082--680,37/001/2025,1552.09 5BRL,http://site.org/h7rw,Cliente: I gor Azeveôdo Contato: vn5exw4phbw@empresa.com.brô | +55(31)93414-88502 Identificação: CPF 318.730.950-79 / CNPJ 3 3.333..333/3333-33 Endereço: CEP 5 9082--680 Data cadastro: 37/001/2025 Faturamento: 1552.09 5BRL Site: http://site.org/h7rw Observação: îvìçgtvcsóâlpzáósözi
P  aulo Oliveira,g8hsicto9r@outlook.com,(95) 9585-7491,0462176a4365,39.416.674/0788-7,â  06672-641,2  2/12/2025,R$499.83,https://empresaa.com.r/34de/rnh1,Cliente: P aulo Oliveira Contato: g8hsicto9r@outlook.com | (95) 9585-7491 Identificação: CPF 0462176a4365 / CNPJ 39.416.674/0788-7 Endereço: CEP â 06672-641 Data cadastro: 2 2/12/2025 Faturamento: R$499.83 Site: https://empresaa.com.r/34de/rnh1 Observação: wîhxojùtlvyybaîëûavéënáôïcúnbmrepòzvôm
Eduaro wwRodrigues,8r-+22b5c1c@example.com,+55(61)7405-4586,6  1433d70044,744368716387762,1824-7411,20/032016,m3823,http://data.ufc.br/g664l,Cliente: Eduaro wwRodrigues Contato: 8r-+22b5c1c@example.com | +55(61)7405-4586 Identificação: CPF 6 1433d70044 / CNPJ 744368716387762 Endereço: CEP 1824-7411 Data cadastro: 20/032016 Faturamento: m3823 Site: http://data.ufc.br/g664l Observação: çzxäûàyzqäzcíwiaèõüvôiîàtvuleéxdsì
Yasmin Martins,_  9865j3x@mail.com,419143031183,220661850677,73.864.006/7246-63,33011-184,1  5/04/2011,117.67,https://contato.me/5uxiswj/zgverm0,Cliente: Yasmin Martins Contato: _ 9865j3x@mail.com | 419143031183 Identificação: CPF 220661850677 / CNPJ 73.864.006/7246-63 Endereço: CEP 33011-184 Data cadastro: 1 5/04/2011 Faturamento: 117.67 Site: https://contato.me/5uxiswj/zgverm0 Observação: iqàïtòäáùkîmzöësiàêxhéîãmàäìûïdfa
Eduardo Cargvalho,e+d-uia83kg@empresa.com.br,4  1 9393-00824,51904562446,5  5.555..55/5555-55,262253-814,11/15/22028,"2,567.18",https://emresa.com.br/kdjs7,"Cliente: Eduardo Cargvalho Contato: e+d-uia83kg@empresa.com.br | 4 1 9393-00824 Identificação: CPF 51904562446 / CNPJ 5 5.555..55/5555-55 Endereço: CEP 262253-814 Data cadastro: 11/15/22028 Faturamento: 2,567.18 Site: https://emresa.com.br/kdjs7 Observação: ãglyáàgvöpînìüiïrlãùdiewdôgnq"
Helena Carvalh,1  k4-8@ufc.br,555 21 21162206,582.477.339-43,0  3.719..127/5939-55,9104-436,24/12/2011,R$ 2098.99,h  ttp://data.ufc.br/0fqjkad,Cliente: Helena Carvalh Contato: 1 k4-8@ufc.br | 555 21 21162206 Identificação: CPF 582.477.339-43 / CNPJ 0 3.719..127/5939-55 Endereço: CEP 9104-436 Data cadastro: 24/12/2011 Faturamento: R$ 2098.99 Site: h ttp://data.ufc.br/0fqjkad Observação: ráònolùsywôçõáêsevsüáümvhãuén
Letícia Barbosa,5.yw.@@,+55(51)97953-7237,656.003.37ó5-90,6.842.109/22õ25-69,60414-2664,02/17/1994,2793.21 BRL,https://contao.meó/9jhb,Cliente: Letícia Barbosa Contato: 5.yw.@@ | +55(51)97953-7237 Identificação: CPF 656.003.37ó5-90 / CNPJ 6.842.109/22õ25-69 Endereço: CEP 60414-2664 Data cadastro: 02/17/1994 Faturamento: 2793.21 BRL Site: https://contao.meó/9jhb Observação: ûbêuvîlvòàkìälyyìçjnjuâüképòtùá
T  alita Moyura,4dr3lm@p@mail.com,(  86) 4494-00395,6  6610514933,8  0686288868872,8  69556-134,26/03/2024,2  221,h  ttpps://exemplo.c5om/8p8,Cliente: T alita Moyura Contato: 4dr3lm@p@mail.com | ( 86) 4494-00395 Identificação: CPF 6 6610514933 / CNPJ 8 0686288868872 Endereço: CEP 8 69556-134 Data cadastro: 26/03/2024 Faturamento: 2 221 Site: h ttpps://exemplo.c5om/8p8 Observação: ïbpgõãéòuzìúúaaúaúgôîòçüfãyvnçl
J  oãoo Moúura,qn664hxeu@mail.com,+55 95 912m321600,469.11.087-10,82.040.093/8083-28,9  93241-832,20/05/200ï,ì  21113.99 BRL,h  ttps://exeemplo.com/jckfo,Cliente: J oãoo Moúura Contato: qn664hxeu@mail.com | +55 95 912m321600 Identificação: CPF 469.11.087-10 / CNPJ 82.040.093/8083-28 Endereço: CEP 9 93241-832 Data cadastro: 20/05/200ï Faturamento: ì 21113.99 BRL Site: h ttps://exeemplo.com/jckfo Observação: uaêqèukísáéâdoéèqàâóédûaíôûobô
Paulo Almeida,cpv6ouuaf5@empresa.com.b,(  71) 919990-5024,797.328.290-44,320511213406855,685117471,1  5/08/2017,"2,284.83",https://contato.me/169zmfk/d2btt,"Cliente: Paulo Almeida Contato: cpv6ouuaf5@empresa.com.b | ( 71) 919990-5024 Identificação: CPF 797.328.290-44 / CNPJ 320511213406855 Endereço: CEP 685117471 Data cadastro: 1 5/08/2017 Faturamento: 2,284.83 Site: https://contato.me/169zmfk/d2btt Observação: âãõiumûjdówòîôúlërêìíäpxù"
S  érgi Gomes, -  +mnv4b@empreesa.com.br,+55(98)95239-1886,4  09986644307,4  6.484.427/3983-95,62773533,06/07/2017,"R$ 1.307,,69",https://empresa.com.br/1mprdh,"Cliente: S érgi Gomes Contato: - +mnv4b@empreesa.com.br | +55(98)95239-1886 Identificação: CPF 4 09986644307 / CNPJ 4 6.484.427/3983-95 Endereço: CEP 62773533 Data cadastro: 06/07/2017 Faturamento: R$ 1.307,,69 Site: https://empresa.com.br/1mprdh Observação: hxekóhhárçéôólqõyslîïèâlqâûnunôóóêéx"
