,nome,email,telefone,cpf,cpf_validado,cnpj,cnpj_validado,cep,data,valor,url
158,"[['Beatriz Peüreira'], 'Beatriz Peüreira']","[[], None]","[['(11) 9632-7353'], '(11) 9632-7353']","[['726.029.254-70'], '726.029.254-70']",True,"[['86.272.884/0766-43'], '86.272.884/0766-43']",True,"[['67625923'], '67625923']","[[('09', '08', '2022')], '09/08/2022']","[['322358.96'], '322358.96']","[[], None]"
159,"[['V  inícius Martins'], 'V  inícius Martins']","[['g1_an_llb@epresa.comm.br'], 'g1_an_llb@epresa.comm.br']","[[], None]","[['980.142.647-03'], '980.142.647-03']",True,"[['17.703.163/7050-04'], '17.703.163/7050-04']",False,"[[], None]","[[('16', '06', '2000')], '16/06/2000']","[['22,414.33'], '22,414.33']","[['http://site.org/kw9/gooi3'], 'http://site.org/kw9/gooi3']"
160,"[['F  ernanda Pereira'], 'F  ernanda Pereira']","[[], None]","[[], None]","[[], None]",False,"[[], None]",False,"[['12907-596'], '12907-596']","[[], None]","[[' 4.513,79'], ' 4.513,79']","[['http://data.ufc.b/5zme'], 'http://data.ufc.b/5zme']"
161,"[['Helena Carvalho'], 'Helena Carvalho']","[['5_3iq3+ixqij@example.com'], '5_3iq3+ixqij@example.com']","[[], None]","[['345.819.204-26'], '345.819.204-26']",True,"[['06.769.333/2998-70'], '06.769.333/2998-70']",True,"[[], None]","[[], None]","[[], None]","[['https://empresa.com.br/zlb6/z4ikx'], 'https://empresa.com.br/zlb6/z4ikx']"
162,"[['C  arlos Rdrigues'], 'C  arlos Rdrigues']","[['m8-likt3ff@ufc.br'], 'm8-likt3ff@ufc.br']","[['(41) 3461-7623'], '(41) 3461-7623']","[[], None]",False,"[['60.762.643/8500-76'], '60.762.643/8500-76']",True,"[['36109444'], '36109444']","[[], None]","[['R$ 3627.83'], 'R$ 3627.83']","[[], None]"
163,"[['Letcia'], 'Letcia']","[['lfzrpu_++b@outlook.com'], 'lfzrpu_++b@outlook.com']","[['(71) 97564-6726'], '(71) 97564-6726']","[[], None]",False,"[[], None]",False,"[['68154185'], '68154185']","[[('16', '08', '2025')], '16/08/2025']","[['R$ 4.664,42'], 'R$ 4.664,42']","[[], None]"
164,"[['Olívi Barbosa'], 'Olívi Barbosa']","[['z2b0z@emprea.com.br'], 'z2b0z@emprea.com.br']","[[], None]","[[], None]",False,"[['07.399.291/9827-11'], '07.399.291/9827-11']",False,"[[], None]","[[], None]","[[], None]","[['https://contato.me/put'], 'https://contato.me/put']"
165,"[['Olívia Carvalho'], 'Olívia Carvalho']","[['dnb687e3kzzj@ufc.br'], 'dnb687e3kzzj@ufc.br']","[['(95) 9612-7620'], '(95) 9612-7620']","[[], None]",False,"[['59.274.116/8069-99'], '59.274.116/8069-99']",True,"[[], None]","[[], None]","[['4942.65'], '4942.65']","[['http://site.og/rrnuy'], 'http://site.og/rrnuy']"
166,"[['Olíia Costa'], 'Olíia Costa']","[['x_t.55li@gmail.com'], 'x_t.55li@gmail.com']","[[], None]","[[], None]",False,"[[], None]",False,"[[], None]","[[], None]","[['R$ 4.876,43'], 'R$ 4.876,43']","[['https://contato.me/7ld7q'], 'https://contato.me/7ld7q']"
167,"[['Marina Almeida'], 'Marina Almeida']","[[], None]","[['(21) 5313-7956'], '(21) 5313-7956']","[[], None]",False,"[['44.444.444/4444-44'], '44.444.444/4444-44']",False,"[[], None]","[[('14', '10', '2002')], '14/10/2002']","[[' 2.742,44'], ' 2.742,44']","[['https://empresa.com.brk/cjve/m74mn3c/tlst'], 'https://empresa.com.brk/cjve/m74mn3c/tlst']"
168,"[['Talita Oliíveira'], 'Talita Oliíveira']","[[], None]","[[], None]","[['640.788.026-21'], '640.788.026-21']",True,"[['51.646.933/3562-98'], '51.646.933/3562-98']",True,"[['08987-092'], '08987-092']","[[], None]","[['R$994.85'], 'R$994.85']","[['http://data.ufc.br/soffmjy'], 'http://data.ufc.br/soffmjy']"
169,"[['Paulo Soccuza'], 'Paulo Soccuza']","[['7zdvdzpczzzp@dominio.org'], '7zdvdzpczzzp@dominio.org']","[[], None]","[['502.816.409-63'], '502.816.409-63']",True,"[['90.912.030/2520-94'], '90.912.030/2520-94']",False,"[[], None]","[[('25', '08', '2201')], '25/08/2201']","[[], None]","[['https://conato.me/qricu/9ssvo'], 'https://conato.me/qricu/9ssvo']"
170,"[['Carlos Perrira'], 'Carlos Perrira']","[['t2.qdyqxng@gmail.ccom'], 't2.qdyqxng@gmail.ccom']","[[], None]","[['790.571.918-90'], '790.571.918-90']",True,"[['64.693.656/1833-62'], '64.693.656/1833-62']",True,"[['37771843'], '37771843']","[[], None]","[['R$636.62'], 'R$636.62']","[['https://c@ontato.me/x15pnmj'], 'https://c@ontato.me/x15pnmj']"
171,"[['Eduardo Lima'], 'Eduardo Lima']","[['3nne06czzzt4b@outlook.c'], '3nne06czzzt4b@outlook.c']","[['(71) 5826-7625'], '(71) 5826-7625']","[[], None]",False,"[[], None]",False,"[['06200363'], '06200363']","[[('03', '01', '2016')], '03/01/2016']","[['1342.93'], '1342.93']","[['https://contaato.me/es2ru5/ng7n58r'], 'https://contaato.me/es2ru5/ng7n58r']"
172,"[['Beatriz Alme'], 'Beatriz Alme']","[['q..xzt3.+@uc.br'], 'q..xzt3.+@uc.br']","[[], None]","[[], None]",False,"[['38.309.723/6108-00'], '38.309.723/6108-00']",True,"[[], None]","[[('30', '01', '2016')], '30/01/2016']","[['3,88'], '3,88']","[[], None]"
173,"[['Eduardo Mrtins'], 'Eduardo Mrtins']","[['xy-r7atu@example.com'], 'xy-r7atu@example.com']","[['(31) 90315-8925'], '(31) 90315-8925']","[[], None]",False,"[[], None]",False,"[[], None]","[[], None]","[['649.88'], '649.88']","[['https://contato.me/13xxhûte/1r7kma6'], 'https://contato.me/13xxhûte/1r7kma6']"
174,"[['Talita'], 'Talita']","[['_uqe205uum_7@exaampe.com'], '_uqe205uum_7@exaampe.com']","[['(51) 99626-8384'], '(51) 99626-8384']","[[], None]",False,"[['00.000.000/0000-00'], '00.000.000/0000-00']",False,"[[], None]","[[('8', '10', '2006')], '8/10/2006']","[['  622.05'], '  622.05']","[[], None]"
175,"[['I  gr Souza'], 'I  gr Souza']","[['etet4dg@outlook.com'], 'etet4dg@outlook.com']","[[], None]","[['555.555.555-55'], '555.555.555-55']",False,"[[], None]",False,"[[], None]","[[], None]","[['1131.56'], '1131.56']","[[], None]"
176,"[['Paulo Costa'], 'Paulo Costa']","[[], None]","[[], None]","[['509.962.183-00'], '509.962.183-00']",True,"[['19.666.610/2563-80'], '19.666.610/2563-80']",True,"[['01376-836'], '01376-836']","[[('21', '09', '2000')], '21/09/2000']","[['62.13'], '62.13']","[['http://data.ufc.br/ujt/zhrsb/knpwe3t'], 'http://data.ufc.br/ujt/zhrsb/knpwe3t']"
177,"[['Vincius MMoura'], 'Vincius MMoura']","[[], None]","[['(85) 9314-3911'], '(85) 9314-3911']","[['531.220.409-96'], '531.220.409-96']",False,"[[], None]",False,"[[], None]","[[], None]","[['6.82'], '6.82']","[[], None]"
178,"[['Paulo Almeida'], 'Paulo Almeida']","[['_611mr@empresa.com.br'], '_611mr@empresa.com.br']","[['(86) 4762-5380'], '(86) 4762-5380']","[['953.677.349-01'], '953.677.349-01']",True,"[['29.735.615/2665-04'], '29.735.615/2665-04']",True,"[[], None]","[[('20', '08', '2016')], '20/08/2016']","[['  07.46'], '  07.46']","[['http://site.rg/1uovn9/0i9vpjs'], 'http://site.rg/1uovn9/0i9vpjs']"
179,"[['E  dyuardoAlmeida'], 'E  dyuardoAlmeida']","[['hihszm_t@outlook.com'], 'hihszm_t@outlook.com']","[[], None]","[['625.429.264-50'], '625.429.264-50']",True,"[['39.172.994/0369-45'], '39.172.994/0369-45']",True,"[[], None]","[[('4', '02', '2000')], '4/02/2000']","[['R$1500.96'], 'R$1500.96']","[['https://contato.me/zpr'], 'https://contato.me/zpr']"
180,"[['RRafaea Moura'], 'RRafaea Moura']","[['n8yydfu@outlook.com'], 'n8yydfu@outlook.com']","[[], None]","[[], None]",False,"[['70.288.141/1287-96'], '70.288.141/1287-96']",True,"[['64639138'], '64639138']","[[], None]","[[], None]","[['https://exenmplo.com/skp/hwsd'], 'https://exenmplo.com/skp/hwsd']"
181,"[['Crlos Costa'], 'Crlos Costa']","[['hoay60lqc@utloook.com'], 'hoay60lqc@utloook.com']","[[], None]","[[], None]",False,"[[], None]",False,"[[], None]","[[], None]","[['4,680.50'], '4,680.50']","[['https://contato.me/9r2'], 'https://contato.me/9r2']"
182,"[['Daènel Pereira'], 'Daènel Pereira']","[['qpz++.auv9uw5@outlook.com'], 'qpz++.auv9uw5@outlook.com']","[[], None]","[['940.842.906-02'], '940.842.906-02']",True,"[['04.528.986/0610-03'], '04.528.986/0610-03']",True,"[[], None]","[[], None]","[['R$ 3599.87'], 'R$ 3599.87']","[['http://site.org/6rm/zkzsrt/5lua8s'], 'http://site.org/6rm/zkzsrt/5lua8s']"
183,"[['Fernannda Lima'], 'Fernannda Lima']","[[], None]","[['(41) 93797-1900'], '(41) 93797-1900']","[[], None]",False,"[['50.220.619/0193-60'], '50.220.619/0193-60']",True,"[['02956-162'], '02956-162']","[[], None]","[['2.000,14'], '2.000,14']","[['http://data.ufc.br/wta2j/aswn/ofy3'], 'http://data.ufc.br/wta2j/aswn/ofy3']"
184,"[['Letícia Barboqsa'], 'Letícia Barboqsa']","[['enjq1w@ufcc.br'], 'enjq1w@ufcc.br']","[[], None]","[['866.932.784-85'], '866.932.784-85']",True,"[['37.659.153/8201-10'], '37.659.153/8201-10']",True,"[[], None]","[[('02', '03', '2011')], '02/03/2011']","[['1099.91'], '1099.91']","[['https://empresa.com.br/uy40q7/6s1kkr/sxhbt0i'], 'https://empresa.com.br/uy40q7/6s1kkr/sxhbt0i']"
185,"[['Paulo Souza'], 'Paulo Souza']","[[], None]","[['(92) 9360-5494'], '(92) 9360-5494']","[[], None]",False,"[[], None]",False,"[['20856-490'], '20856-490']","[[], None]","[[], None]","[['https://contatoo.me/aeg/szh4w'], 'https://contatoo.me/aeg/szh4w']"
186,"[['Vinnícius Gomes'], 'Vinnícius Gomes']","[['w_7mmk00e4c@gmail.com'], 'w_7mmk00e4c@gmail.com']","[[], None]","[['058.353.458-95'], '058.353.458-95']",True,"[[], None]",False,"[[], None]","[[], None]","[['4935.40'], '4935.40']","[[], None]"
187,"[['rDaniel Almeida'], 'rDaniel Almeida']","[['wzz30sc+-y7@outlook.com'], 'wzz30sc+-y7@outlook.com']","[[], None]","[[], None]",False,"[['52.242.653/7932-37'], '52.242.653/7932-37']",True,"[['36015-791'], '36015-791']","[[('31', '08', '2001')], '31/08/2001']","[['2.452,22'], '2.452,22']","[['https://exemplo.com/zj0'], 'https://exemplo.com/zj0']"
188,"[['Beaatriz Silva'], 'Beaatriz Silva']","[['buf_b9vrnj5@exampl.com'], 'buf_b9vrnj5@exampl.com']","[[], None]","[['303.356.369-42'], '303.356.369-42']",True,"[['30.100.090/8993-85'], '30.100.090/8993-85']",True,"[[], None]","[[], None]","[['565.18'], '565.18']","[['https://exemplo.com/0zk8'], 'https://exemplo.com/0zk8']"
189,"[['Ana Silva'], 'Ana Silva']","[['k3z_kl1112@ufc.b7r'], 'k3z_kl1112@ufc.b7r']","[[], None]","[[], None]",False,"[[], None]",False,"[['40838-580'], '40838-580']","[[('8', '01', '2013')], '8/01/2013']","[['3752.02'], '3752.02']","[['https://contato.me/v49me'], 'https://contato.me/v49me']"
190,"[['A  na Azevedo'], 'A  na Azevedo']","[['frtz+x5qdy8@dominio.org'], 'frtz+x5qdy8@dominio.org']","[['(61) 96267-3664'], '(61) 96267-3664']","[['544.534.514-90'], '544.534.514-90']",True,"[['88.658.348/3483-80'], '88.658.348/3483-80']",True,"[[], None]","[[], None]","[[], None]","[[], None]"
191,"[['M  rina Rodrigu'], 'M  rina Rodrigu']","[[], None]","[[], None]","[['333.333.333-33'], '333.333.333-33']",False,"[['55.451.460/9193-00'], '55.451.460/9193-00']",True,"[[], None]","[[], None]","[[], None]","[[], None]"
192,"[['Gabril Carvallho'], 'Gabril Carvallho']","[['-xofck_44hg@mail.com'], '-xofck_44hg@mail.com']","[['(69) 0873-9221'], '(69) 0873-9221']","[['999.999.999-99'], '999.999.999-99']",False,"[['79.265.173/2816-97'], '79.265.173/2816-97']",True,"[[], None]","[[], None]","[[' 3.860,92'], ' 3.860,92']","[[], None]"
193,"[['Helena Almeida'], 'Helena Almeida']","[['.f4py+a@doinio.org'], '.f4py+a@doinio.org']","[[], None]","[['947.672.000-08'], '947.672.000-08']",True,"[['10.707.163/4850-89'], '10.707.163/4850-89']",False,"[[], None]","[[], None]","[[], None]","[['https://exemplo.com/15fp2'], 'https://exemplo.com/15fp2']"
194,"[['Rafaela Lima'], 'Rafaela Lima']","[['br8o5+o@dominio.og'], 'br8o5+o@dominio.og']","[['9247-8301'], '9247-8301']","[['159.229.127-98'], '159.229.127-98']",True,"[['93.410.406/2911-87'], '93.410.406/2911-87']",True,"[['17960-757'], '17960-757']","[[], None]","[['R$15561.69'], 'R$15561.69']","[['https://empresa.com.br/2duki/5hh'], 'https://empresa.com.br/2duki/5hh']"
195,"[['Vinícus Souza'], 'Vinícus Souza']","[['t+dp4@gmail.om'], 't+dp4@gmail.om']","[[], None]","[['444.444.444-44'], '444.444.444-44']",False,"[['83.563.998/1274-02'], '83.563.998/1274-02']",True,"[[], None]","[[], None]","[['R$941,88'], 'R$941,88']","[['https://contato..me/zoqqgn'], 'https://contato..me/zoqqgn']"
196,"[['Talita Silva'], 'Talita Silva']","[['srks9rjbbk@gmail.com'], 'srks9rjbbk@gmail.com']","[[], None]","[['509.476.511-60'], '509.476.511-60']",True,"[['15.640.994/1475-29'], '15.640.994/1475-29']",True,"[[], None]","[[], None]","[['3187.61'], '3187.61']","[[], None]"
197,"[['Yasmin Silva'], 'Yasmin Silva']","[['zvcq3h97mac__@outlook.cm'], 'zvcq3h97mac__@outlook.cm']","[['(81) 0690-1497'], '(81) 0690-1497']","[['428.873.449-51'], '428.873.449-51']",True,"[['86.679.899/4706-04'], '86.679.899/4706-04']",True,"[[], None]","[[('15', '10', '2018')], '15/10/2018']","[['678.65'], '678.65']","[[], None]"
198,"[['Natan Pereira'], 'Natan Pereira']","[['obfbfj29.y@ufc.bbr'], 'obfbfj29.y@ufc.bbr']","[['(51) 9468-9633'], '(51) 9468-9633']","[['930.485.277-37'], '930.485.277-37']",True,"[[], None]",False,"[[], None]","[[], None]","[['R$ 515.00'], 'R$ 515.00']","[[], None]"
199,"[['Marina Azeedo'], 'Marina Azeedo']","[['x@empresa.com.br'], 'x@empresa.com.br']","[['(69) 9651-1815'], '(69) 9651-1815']","[[], None]",False,"[['91.103.495/6119-53'], '91.103.495/6119-53']",True,"[[], None]","[[], None]","[[], None]","[['https://conntato.me/5ar30zy/jbxixzv'], 'https://conntato.me/5ar30zy/jbxixzv']"
200,"[['Edduardo Ribeiro'], 'Edduardo Ribeiro']","[['r00u8fwn-@ufc.br'], 'r00u8fwn-@ufc.br']","[['(41) 1934-8918'], '(41) 1934-8918']","[['521.789.559-40'], '521.789.559-40']",True,"[[], None]",False,"[[], None]","[[('06', '10', '2007')], '06/10/2007']","[['R$ 1882.43'], 'R$ 1882.43']","[[], None]"
201,"[['Igor Oliveira'], 'Igor Oliveira']","[['z8j06@empresa.codm.br'], 'z8j06@empresa.codm.br']","[['(99) 0059-3257'], '(99) 0059-3257']","[['756.269.962-30'], '756.269.962-30']",True,"[['99.999.999/9999-99'], '99.999.999/9999-99']",False,"[['28703-220'], '28703-220']","[[('02', '10', '2020')], '02/10/2020']","[['4,128.69'], '4,128.69']","[['http://site.org/5iqm9/hjwfsv/cv6b'], 'http://site.org/5iqm9/hjwfsv/cv6b']"
202,"[['Igor zMura'], 'Igor zMura']","[['p9k.ste_hq@dominio.org'], 'p9k.ste_hq@dominio.org']","[['(92) 96562-9258'], '(92) 96562-9258']","[['053.472.839-12'], '053.472.839-12']",True,"[[], None]",False,"[[], None]","[[('14', '11', '2001')], '14/11/2001']","[[], None]","[['http://site.org/18t15/56bzru/o4rru4v'], 'http://site.org/18t15/56bzru/o4rru4v']"
203,"[['Sérgio Costa'], 'Sérgio Costa']","[['t+k4y009@uufc.br'], 't+k4y009@uufc.br']","[['(61) 9605-3920'], '(61) 9605-3920']","[['460.180.403-52'], '460.180.403-52']",True,"[['01.537.358/6671-31'], '01.537.358/6671-31']",True,"[[], None]","[[('21', '09', '2017')], '21/09/2017']","[['4,21'], '4,21']","[['https://contato.me/egj7w02/6xck/wun'], 'https://contato.me/egj7w02/6xck/wun']"
204,"[['J  oão Pereira'], 'J  oão Pereira']","[[], None]","[[], None]","[['076.341.535-91'], '076.341.535-91']",True,"[['00.115.477/3494-33'], '00.115.477/3494-33']",True,"[['56413-547'], '56413-547']","[[('01', '10', '2014')], '01/10/2014']","[['3,75'], '3,75']","[['https://contato.me/ujpj/xxw9bw55'], 'https://contato.me/ujpj/xxw9bw55']"
205,"[['Yasmin Olivera'], 'Yasmin Olivera']","[[], None]","[['(85) 91335-1390'], '(85) 91335-1390']","[['353.673.558-46'], '353.673.558-46']",True,"[[], None]",False,"[['43097-427'], '43097-427']","[[], None]","[[], None]","[['https://contkato.me/402er'], 'https://contkato.me/402er']"
206,"[['P  ulo Pereira'], 'P  ulo Pereira']","[['jdn9@outlook.com'], 'jdn9@outlook.com']","[['(51) 1127-2836'], '(51) 1127-2836']","[['819.376.841-80'], '819.376.841-80']",True,"[[], None]",False,"[['30876-477'], '30876-477']","[[('02', '12', '2018')], '02/12/2018']","[['1614.00'], '1614.00']","[['http://exemplo.com/8p3/jxa404'], 'http://exemplo.com/8p3/jxa404']"
207,"[['Fernanda Silva'], 'Fernanda Silva']","[['e+pzivkz@oulook.com'], 'e+pzivkz@oulook.com']","[[], None]","[[], None]",False,"[[], None]",False,"[['35174-546'], '35174-546']","[[('6', '06', '2015')], '6/06/2015']","[['R$ 378.82'], 'R$ 378.82']","[['https://contato.me/tdf/8pmf/vx64aov'], 'https://contato.me/tdf/8pmf/vx64aov']"
208,"[['Talita Mour'], 'Talita Mour']","[[], None]","[['(98) 92693-4854'], '(98) 92693-4854']","[['959.476.411-39'], '959.476.411-39']",False,"[['97.647.545/6572-65'], '97.647.545/6572-65']",True,"[['39098468'], '39098468']","[[('05', '07', '2000')], '05/07/2000']","[['428.51'], '428.51']","[['http://data.ufc.br/l07en7i0/4c2232x/cn0jyo'], 'http://data.ufc.br/l07en7i0/4c2232x/cn0jyo']"
209,"[['Paulo Ameida'], 'Paulo Ameida']","[['sixvb49197@gmail.com'], 'sixvb49197@gmail.com']","[[], None]","[['860.203.922-01'], '860.203.922-01']",True,"[['70.195.866/3992-53'], '70.195.866/3992-53']",True,"[[], None]","[[('27', '02', '2019')], '27/02/2019']","[['R$ 491.58'], 'R$ 491.58']","[['https://exemplo.com/96a4abu'], 'https://exemplo.com/96a4abu']"
210,"[['Rafaela äSiilva'], 'Rafaela äSiilva']","[['6g-3agxcg.@dominio.org'], '6g-3agxcg.@dominio.org']","[[], None]","[['720.925.192-80'], '720.925.192-80']",True,"[[], None]",False,"[[], None]","[[], None]","[['3304.90'], '3304.90']","[['https://contato..me/tlt/3p0kyicw'], 'https://contato..me/tlt/3p0kyicw']"
211,"[['Y  asmiin Pereira'], 'Y  asmiin Pereira']","[['dgvj3pgh3emp@resa.com.br'], 'dgvj3pgh3emp@resa.com.br']","[[], None]","[['641.475.690-30'], '641.475.690-30']",True,"[['84.293.359/8474-30'], '84.293.359/8474-30']",True,"[['39022-624'], '39022-624']","[[], None]","[['R$  1.75'], 'R$  1.75']","[[], None]"
212,"[['E  duardo Pereira'], 'E  duardo Pereira']","[['gb5fxwu85d@outlook.com'], 'gb5fxwu85d@outlook.com']","[['0453-4941'], '0453-4941']","[['404.224.564-11'], '404.224.564-11']",True,"[[], None]",False,"[['71575571'], '71575571']","[[], None]","[[], None]","[['http://data.ufc.br/r0p/h0ie8x/puiaa3'], 'http://data.ufc.br/r0p/h0ie8x/puiaa3']"
213,"[['Rafaela Oliveira'], 'Rafaela Oliveira']","[[], None]","[[], None]","[[], None]",False,"[['89.995.145/4983-19'], '89.995.145/4983-19']",True,"[['75185-711'], '75185-711']","[[('14', '01', '2002')], '14/01/2002']","[['R$1489.06'], 'R$1489.06']","[[], None]"
214,"[['Igor Almçeida'], 'Igor Almçeida']","[['6-5mwg7@ufc.br'], '6-5mwg7@ufc.br']","[['(77) 1715-1589'], '(77) 1715-1589']","[['225.275.600-40'], '225.275.600-40']",True,"[['44.444.444/4444-44'], '44.444.444/4444-44']",False,"[['11828-051'], '11828-051']","[[], None]","[[], None]","[['https://contatlo.me/i579sr5'], 'https://contatlo.me/i579sr5']"
215,"[['Carlos Costa'], 'Carlos Costa']","[[], None]","[[], None]","[['332.517.904-47'], '332.517.904-47']",False,"[['60.940.671/4878-70'], '60.940.671/4878-70']",True,"[['57940-740'], '57940-740']","[[('04', '03', '2020')], '04/03/2020']","[['R$2344.75'], 'R$2344.75']","[[], None]"
216,"[['I  gor Costa'], 'I  gor Costa']","[['vv_12rooo7t@gmai0l.com'], 'vv_12rooo7t@gmai0l.com']","[['1977-3173'], '1977-3173']","[[], None]",False,"[['30.004.999/2665-61'], '30.004.999/2665-61']",False,"[['62448723'], '62448723']","[[('14', '11', '2016')], '14/11/2016']","[[], None]","[['https://exemplo.c1om/j4y93fq'], 'https://exemplo.c1om/j4y93fq']"
217,"[['Yasmin Carvalho'], 'Yasmin Carvalho']","[['oad96i@gmail.com'], 'oad96i@gmail.com']","[['(95) 99221-8822'], '(95) 99221-8822']","[['846.990.867-72'], '846.990.867-72']",True,"[[], None]",False,"[['63186-417'], '63186-417']","[[], None]","[['R$ 3284.70'], 'R$ 3284.70']","[['http://site.org/qh1p116'], 'http://site.org/qh1p116']"
218,"[['Yasmin Souza'], 'Yasmin Souza']","[[], None]","[[], None]","[[], None]",False,"[[], None]",False,"[[], None]","[[], None]","[[], None]","[['http://data.uc.br/2rfee'], 'http://data.uc.br/2rfee']"
219,"[['è  Gabriel Carvalho'], 'è  Gabriel Carvalho']","[['-u6wvf@gmail.com'], '-u6wvf@gmail.com']","[[], None]","[['051.081.948-62'], '051.081.948-62']",True,"[['26.230.036/0722-29'], '26.230.036/0722-29']",True,"[[], None]","[[('22', '08', '2018')], '22/08/2018']","[[' 2094.64'], ' 2094.64']","[['http://site.org/1y94ta'], 'http://site.org/1y94ta']"
220,"[['Gabriel Rodigues'], 'Gabriel Rodigues']","[['fhvkuuu@ufc.b'], 'fhvkuuu@ufc.b']","[[], None]","[['277.888.826-06'], '277.888.826-06']",False,"[[], None]",False,"[[], None]","[[], None]","[['R$ 3930.25'], 'R$ 3930.25']","[[], None]"
221,"[['V  inícius Coostay'], 'V  inícius Coostay']","[['u3qtrhhc2@dominio.rg'], 'u3qtrhhc2@dominio.rg']","[[], None]","[[], None]",False,"[['16.043.598/3985-80'], '16.043.598/3985-80']",True,"[[], None]","[[('13', '10', '2009')], '13/10/2009']","[[], None]","[['http://ddata.ufc.br/nd2g33'], 'http://ddata.ufc.br/nd2g33']"
222,"[['Carlos Carvvalhdo'], 'Carlos Carvvalhdo']","[[], None]","[['(86) 4332-7639'], '(86) 4332-7639']","[['468.530.455-13'], '468.530.455-13']",True,"[['95.026.356/0777-58'], '95.026.356/0777-58']",True,"[[], None]","[[], None]","[['4480.40'], '4480.40']","[[], None]"
223,"[['João Csta'], 'João Csta']","[['6_uir50a.0@outlook.com'], '6_uir50a.0@outlook.com']","[[], None]","[['064.724.525-63'], '064.724.525-63']",True,"[[], None]",False,"[['28426-809'], '28426-809']","[[], None]","[[], None]","[['https://exemplo.com/yqh/bavm5/1cvyz86'], 'https://exemplo.com/yqh/bavm5/1cvyz86']"
224,"[['Beatriz Ribeiro'], 'Beatriz Ribeiro']","[['c.ad4d@outlook.com'], 'c.ad4d@outlook.com']","[[], None]","[['502.050.254-97'], '502.050.254-97']",False,"[['39.201.029/7599-80'], '39.201.029/7599-80']",True,"[['25269-420'], '25269-420']","[[('25', '01', '2005')], '25/01/2005']","[[], None]","[['http://data.ufc.br/scxffmp'], 'http://data.ufc.br/scxffmp']"
225,"[['Betriz Lima'], 'Betriz Lima']","[['e8q0166-9u+@empresa.com.br'], 'e8q0166-9u+@empresa.com.br']","[['(81) 92055-4829'], '(81) 92055-4829']","[['135.961.830-90'], '135.961.830-90']",True,"[['34.800.226/4259-55'], '34.800.226/4259-55']",True,"[[], None]","[[], None]","[['2,199.59'], '2,199.59']","[['https://exemplo.com/slp/g49q4l'], 'https://exemplo.com/slp/g49q4l']"
226,"[['Helena Moura'], 'Helena Moura']","[['b0v-q7buogyc@empresa.com.br'], 'b0v-q7buogyc@empresa.com.br']","[[], None]","[['743.303.727-62'], '743.303.727-62']",True,"[['24.475.631/1213-48'], '24.475.631/1213-48']",True,"[[], None]","[[], None]","[['200,95'], '200,95']","[['https://contato.me/7lviek7'], 'https://contato.me/7lviek7']"
227,"[['Marina Moura'], 'Marina Moura']","[['4pv1lmi25c@example.co'], '4pv1lmi25c@example.co']","[[], None]","[['358.597.302-76'], '358.597.302-76']",True,"[['22.857.042/4025-55'], '22.857.042/4025-55']",False,"[[], None]","[[], None]","[['276.43'], '276.43']","[['http://site.org/ar6q15/nlle'], 'http://site.org/ar6q15/nlle']"
228,"[['Marina Gomes'], 'Marina Gomes']","[['-.xxbzvupyi@ufc.br'], '-.xxbzvupyi@ufc.br']","[['1214-5744'], '1214-5744']","[['171.485.418-32'], '171.485.418-32']",True,"[[], None]",False,"[['20302769'], '20302769']","[[('25', '02', '2001')], '25/02/2001']","[['18.91'], '18.91']","[[], None]"
229,"[['Beatriz Marttins'], 'Beatriz Marttins']","[['y0txk@emprea.com.br'], 'y0txk@emprea.com.br']","[['(92) 98919-1874'], '(92) 98919-1874']","[['990.821.335-68'], '990.821.335-68']",False,"[[], None]",False,"[['50133-203'], '50133-203']","[[], None]","[['701.43'], '701.43']","[[], None]"
230,"[['Sérgiúo Martins'], 'Sérgiúo Martins']","[[], None]","[['(81) 9323-8004'], '(81) 9323-8004']","[[], None]",False,"[['19.603.482/3678-83'], '19.603.482/3678-83']",False,"[[], None]","[[('28', '04', '2019')], '28/04/2019']","[[], None]","[['http://site.org/èzo5/icz'], 'http://site.org/èzo5/icz']"
231,"[['E  duardo Olviveira'], 'E  duardo Olviveira']","[['o7y_4ri@gmail.com'], 'o7y_4ri@gmail.com']","[['(98) 94033-4884'], '(98) 94033-4884']","[['736.838.509-57'], '736.838.509-57']",False,"[['34.099.165/0811-68'], '34.099.165/0811-68']",True,"[['77006-279'], '77006-279']","[[('16', '01', '2015')], '16/01/2015']","[[' 3.762,73'], ' 3.762,73']","[['http://data.ufc.br/wqsy/vsif4w'], 'http://data.ufc.br/wqsy/vsif4w']"
232,"[['Marrina Moura'], 'Marrina Moura']","[['.9hndi0uyr34@example.com'], '.9hndi0uyr34@example.com']","[[], None]","[[], None]",False,"[[], None]",False,"[['24738-852'], '24738-852']","[[('29', '08', '2021')], '29/08/2021']","[['4704.88'], '4704.88']","[['https://contato.me/3ad499/jvp/vgkf'], 'https://contato.me/3ad499/jvp/vgkf']"
233,"[['R  aaela Barbosa'], 'R  aaela Barbosa']","[['vzu2i14zx@gmail.cm'], 'vzu2i14zx@gmail.cm']","[['(41) 92645-2573'], '(41) 92645-2573']","[[], None]",False,"[[], None]",False,"[[], None]","[[('18', '05', '2015')], '18/05/2015']","[[], None]","[[], None]"
